TIME,SCORE,PLAYER_NAMES,SCORE1,SCORE2,FIFTY,SCORE3,SCORE4,OTHER_INFO,REVIEWS,FOUR_SIX,TOUR_SIXES
0.08 sec',"[488,620,305,89]","[134,628,343,76]",[],[],[],[],[],[],[],[],[]
0.12 sec',"[488.000183105469,619.999938964844,304.999694824219,89.0003662109375]","[134.000198364258,627.999267578125,342.999816894531,76.0009155273438]",[],[],[],[],[],[],[],[],[]
0.16 sec',"[488.000122070313,619.999938964844,304.999633789063,89.0003662109375]","[134.000411987305,627.999267578125,342.999328613281,76.0006713867188]",[],[],[],[],[],[],[],[],[]
0.2 sec',"[487.999847412109,619.999816894531,305.000030517578,89.0007324218750]","[134.000259399414,627.999084472656,342.999877929688,76.0006103515625]",[],[],[],[],[],[],[],[],[]
0.24 sec',"[487.999786376953,620,305.000152587891,89.0000610351563]","[133.999389648438,627.999206542969,343.001037597656,76.0005493164063]",[],[],[],[],[],[],[],[],[]
0.28 sec',"[488.000152587891,620.000183105469,304.999542236328,89.0001220703125]","[133.999725341797,627.999084472656,343.001007080078,76.0014648437500]",[],[],[],[],[],[],[],[],[]
0.32 sec',"[487.998413085938,619.995117187500,305.003112792969,89.0075683593750]","[133.999969482422,627.999084472656,343.000823974609,76.0014648437500]",[],[],[],[],[],[],[],[],[]
0.36 sec',"[487.998413085938,619.995117187500,305.003051757813,89.0075683593750]","[134.000015258789,627.999084472656,343.000793457031,76.0014648437500]",[],[],[],[],[],[],[],[],[]
0.4 sec',"[488.000427246094,619.997985839844,304.998474121094,89.0146484375000]","[134.000961303711,627.999572753906,342.996826171875,76]",[],[],[],[],[],[],[],[],[]
0.44 sec',"[488.001312255859,619.998901367188,304.995880126953,89.0240478515625]","[134.001144409180,627.999694824219,342.995239257813,75.9995727539063]",[],[],[],[],[],[],[],[],[]
0.48 sec',"[488.003906250000,620.003540039063,304.989685058594,89.0289916992188]","[134.001861572266,627.999877929688,342.992218017578,75.9989624023438]",[],[],[],[],[],[],[],[],[]
0.52 sec',"[488.000183105469,619.995788574219,304.998901367188,89.0227050781250]","[134.001632690430,627.999816894531,342.992858886719,75.9995727539063]",[],[],[],[],[],[],[],[],[]
0.56 sec',"[488.001007080078,619.997619628906,304.996978759766,89.0199584960938]","[134.001647949219,627.999816894531,342.992889404297,75.9995727539063]",[],[],[],[],[],[],[],[],[]
0.6 sec',"[488.000152587891,619.995605468750,305.000701904297,89.0025634765625]","[134.000350952148,627.998718261719,342.999206542969,76.0025634765625]",[],[],[],[],[],[],[],[],[]
0.64 sec',"[488.000152587891,619.993347167969,304.999786376953,89.0146484375000]","[134.000152587891,627.998840332031,342.999603271484,76.0008544921875]",[],[],[],[],[],[],[],[],[]
0.68 sec',"[488.001403808594,619.998046875000,304.995910644531,88.9996337890625]","[133.999481201172,627.997009277344,343.000701904297,76.0021972656250]",[],[],[],[],[],[],[],[],[]
0.72 sec',"[488.001129150391,619.997985839844,304.999542236328,89.0010375976563]","[134.000152587891,627.998352050781,342.999786376953,76.0006103515625]",[],[],[],[],[],[],[],[],[]
0.76 sec',"[488.001525878906,619.998535156250,304.998901367188,89.0018920898438]","[133.999557495117,627.998168945313,343.000427246094,76.0008544921875]",[],[],[],[],[],[],[],[],[]
0.8 sec',"[488.002380371094,619.997436523438,304.997070312500,89.0068359375000]","[133.999404907227,627.998229980469,343.000549316406,76.0007934570313]",[],[],[],[],[],[],[],[],[]
0.84 sec',"[488.001220703125,619.997558593750,304.999389648438,89.0089111328125]","[133.999481201172,627.998291015625,343.000457763672,76.0002441406250]",[],[],[],[],[],[],[],[],[]
0.88 sec',"[488.001495361328,620.001281738281,304.998321533203,89.0063476562500]","[133.999496459961,627.998107910156,343.000793457031,76.0005493164063]",[],[],[],[],[],[],[],[],[]
0.92 sec',"[487.999053955078,619.997985839844,305.003265380859,89.0133666992188]","[133.999740600586,627.998168945313,343.000366210938,76.0006103515625]",[],[],[],[],[],[],[],[],[]
0.96 sec',"[487.998596191406,619.997314453125,305.003906250000,89.0142211914063]","[133.999801635742,627.997985839844,343.000427246094,76.0006713867188]",[],[],[],[],[],[],[],[],[]
1 sec',"[487.998321533203,619.996398925781,305.004425048828,89.0153808593750]","[133.999786376953,627.998413085938,343.000610351563,76.0004882812500]",[],[],[],[],[],[],[],[],[]
1.04 sec',"[487.997833251953,619.995117187500,305.005401611328,89.0171508789063]","[133.999130249023,627.995300292969,343.001953125000,76.0040893554688]",[],[],[],[],[],[],[],[],[]
1.08 sec',"[487.996734619141,619.991821289063,305.008209228516,89.0219116210938]","[133.998321533203,627.994262695313,343.003417968750,76.0055541992188]",[],[],[],[],[],[],[],[],[]
1.12 sec',"[487.996307373047,619.991760253906,305.008758544922,89.0218505859375]","[133.998275756836,627.994262695313,343.003479003906,76.0055541992188]",[],[],[],[],[],[],[],[],[]
1.16 sec',"[487.998352050781,619.995971679688,305.004577636719,89.0164184570313]","[133.998001098633,627.993957519531,343.003967285156,76.0059204101563]",[],[],[],[],[],[],[],[],[]
1.2 sec',"[487.998352050781,619.994873046875,305,89]","[133.997894287109,627.994201660156,343,76]",[],[],[],[],[],"[804,632,314,64]",[],[],[]
1.24 sec',"[487.997100830078,619.990966796875,305.007598876953,89.0236206054688]","[133.997802734375,627.994140625000,343.003997802734,76.0057373046875]",[],[],[],[],[],"[803.999755859375,631.999755859375,314.000488281250,64.0001831054688]",[],[],[]
1.28 sec',"[487.997192382813,619.990844726563,305.007202148438,89.0238037109375]","[133.997741699219,627.992797851563,343.004455566406,76.0074462890625]",[],[],[],[],[],"[803.998779296875,631.999389648438,314.001708984375,64.0007934570313]",[],[],[]
1.32 sec',"[487.997314453125,619.990783691406,305.006958007813,89.0237426757813]","[133.997772216797,627.992614746094,343.004394531250,76.0076904296875]",[],[],[],[],[],"[803.997924804688,631.998962402344,314.002807617188,64.0012817382813]",[],[],[]
1.36 sec',"[487.997528076172,619.990905761719,305.006195068359,89.0236816406250]","[133.998428344727,627.992492675781,343.003662109375,76.0078125000000]",[],[],[],[],[],"[803.998962402344,631.999206542969,314.000549316406,64.0007324218750]",[],[],[]
1.4 sec',"[487.997711181641,619.990966796875,305.005706787109,89.0237426757813]","[133.998550415039,627.992675781250,343.003540039063,76.0076904296875]",[],[],[],[],[],"[804.001159667969,631.999633789063,313.997375488281,64]",[],[],[]
1.44 sec',"[487.997985839844,619.990966796875,305.005310058594,89.0235595703125]","[133.999084472656,627.993347167969,343.001525878906,76.0067138671875]",[],[],[],[],[],"[804.002563476563,632.000183105469,313.995239257813,63.9993286132813]",[],[],[]
1.48 sec',"[487.997741699219,619.990905761719,305.005615234375,89.0237426757813]","[134.000076293945,627.997558593750,343.000549316406,76.0056152343750]",[],[],[],[],[],"[804.001037597656,631.999816894531,313.997619628906,63.9998779296875]",[],[],[]
1.52 sec',"[487.997985839844,619.990966796875,305.005371093750,89.0236206054688]","[133.999969482422,627.997558593750,343.000793457031,76.0056152343750]",[],[],[],[],[],"[804.000732421875,631.999816894531,313.997070312500,63.9998779296875]",[],[],[]
1.56 sec',"[487.997619628906,619.991027832031,305.005615234375,89.0234375000000]","[134.001800537109,627.999511718750,342.992401123047,75.9984741210938]",[],[],[],[],[],"[803.999450683594,631.999450683594,313.999572753906,64.0003662109375]",[],[],[]
1.6 sec',"[487.997680664063,619.991027832031,305.005249023438,89.0232543945313]","[133.988769531250,627.931701660156,343.021118164063,76.0837402343750]",[],[],[],[],[],"[804.001159667969,631.999816894531,313.997619628906,63.9995727539063]",[],[],[]
1.64 sec',"[487.997833251953,619.990905761719,305.004913330078,89.0237426757813]","[133.986755371094,627.922912597656,343.025177001953,76.0948486328125]",[],[],[],[],[],"[804.002624511719,631.999816894531,313.995544433594,63.9994506835938]",[],[],[]
1.68 sec',"[487.998229980469,619.991333007813,305.004089355469,89.0234375000000]","[133.985412597656,627.917968750000,343.028686523438,76.1011352539063]",[],[],[],[],[],"[804.003784179688,631.999145507813,313.994262695313,64.0003051757813]",[],[],[]
1.72 sec',"[487.998077392578,619.991577148438,305.003875732422,89.0231933593750]","[133.985366821289,627.918029785156,343.028564453125,76.1010742187500]",[],[],[],[],[],"[804.004455566406,631.999511718750,313.992370605469,63.9996337890625]",[],[],[]
1.76 sec',"[487.998291015625,619.991333007813,305.004028320313,89.0234375000000]","[133.985336303711,627.916442871094,343.027404785156,76.1029663085938]",[],[],[],[],[],"[813.294982910156,628.802612304688,320.894104003906,74.5999145507813]",[],[],[]
1.8 sec',"[487.997985839844,619.991210937500,305.004699707031,89.0236206054688]","[133.986907958984,627.918029785156,343.022552490234,76.1007690429688]",[],[],[],[],[],"[833.200256347656,627.958007812500,312.956970214844,78.9492187500000]",[],[],[]
1.84 sec',"[487.997619628906,619.990966796875,305.005432128906,89.0239868164063]","[133.981887817383,627.889526367188,343.032531738281,76.1365356445313]",[],[],[],[],[],"[833.197265625000,627.958007812500,312.961669921875,78.9483642578125]",[],[],[]
1.88 sec',"[487.997436523438,619.990661621094,305.005859375000,89.0243530273438]","[133.974822998047,627.855102539063,343.050537109375,76.1800537109375]",[],[],[],[],[],[],[],[],[]
1.92 sec',"[487.997497558594,619.990783691406,305.006225585938,89.0241699218750]","[133.974868774414,627.855102539063,343.050415039063,76.1800537109375]",[],[],[],[],[],[],[],[],[]
1.96 sec',"[487.997497558594,619.990722656250,305.006225585938,89.0242309570313]","[133.977127075195,627.862487792969,343.045410156250,76.1706542968750]",[],[],[],[],[],[],[],[],[]
2 sec',"[487.997436523438,619.990783691406,305.006286621094,89.0240478515625]","[133.974563598633,627.852478027344,343.054077148438,76.1834106445313]",[],[],[],[],[],[],[],[],[]
2.04 sec',"[487.997711181641,619.990905761719,305.005828857422,89.0239868164063]","[133.978134155273,627.867187500000,343.046691894531,76.1650390625000]",[],[],[],[],[],[],[],[],[]
2.08 sec',"[487.997497558594,619.990905761719,305.006042480469,89.0241088867188]","[133.978164672852,627.867126464844,343.046875000000,76.1650390625000]",[],[],[],[],[],[],[],[],[]
2.12 sec',"[487.997222900391,619.990783691406,305.006256103516,89.0241699218750]","[133.978179931641,627.867248535156,343.046722412109,76.1649169921875]",[],[],[],[],[],[],[],[],[]
2.16 sec',"[487.997253417969,619.990783691406,305.006408691406,89.0241699218750]","[133.977905273438,627.867309570313,343.047088623047,76.1649169921875]",[],[],[],[],[],[],[],[],[]
2.2 sec',"[487.997375488281,619.990722656250,305.006652832031,89.0241699218750]","[133.977615356445,627.867126464844,343.047485351563,76.1652832031250]",[],[],[],[],[],[],[],[],[]
2.24 sec',"[487.997283935547,619.990661621094,305.007476806641,89.0243530273438]","[133.977874755859,627.867065429688,343.047088623047,76.1647949218750]",[],[],[],[],[],[],[],[],[]
2.28 sec',"[487.997314453125,619.990600585938,305.007934570313,89.0244750976563]","[133.977828979492,627.867431640625,343.046997070313,76.1642456054688]",[],[],[],[],[],[],[],[],[]
